"row","pop_group","age_group","indicator_category","indicator","value","n","sum","Year","row_index"
NA,"Rest of pop","19-44","Demographics","Male","0",839436,"NULL",2018,8753
NA,"Rest of pop","19-44","Demographics","Male","1",855237,"NULL",2018,8754
NA,"Rest of pop","19-44","Demographics","Regional Council","Area Outside Region",183,"NULL",2018,8755
NA,"Rest of pop","19-44","Demographics","Regional Council","Auckland Region",646806,"NULL",2018,8756
NA,"Rest of pop","19-44","Demographics","Regional Council","Bay of Plenty Region",96468,"NULL",2018,8757
NA,"Rest of pop","19-44","Demographics","Regional Council","Canterbury Region",212931,"NULL",2018,8758
NA,"Rest of pop","19-44","Demographics","Regional Council","Gisborne Region",14670,"NULL",2018,8759
NA,"Rest of pop","19-44","Demographics","Regional Council","Hawke's Bay Region",49329,"NULL",2018,8760
NA,"Rest of pop","19-44","Demographics","Regional Council","Manawatu-Whanganui Region",74739,"NULL",2018,8761
NA,"Rest of pop","19-44","Demographics","Regional Council","Marlborough Region",13461,"NULL",2018,8762
NA,"Rest of pop","19-44","Demographics","Regional Council","Nelson Region",15327,"NULL",2018,8763
NA,"Rest of pop","19-44","Demographics","Regional Council","Northland Region",48525,"NULL",2018,8764
NA,"Rest of pop","19-44","Demographics","Regional Council","NULL",7572,"NULL",2018,8765
NA,"Rest of pop","19-44","Demographics","Regional Council","Otago Region",83487,"NULL",2018,8766
NA,"Rest of pop","19-44","Demographics","Regional Council","Southland Region",30729,"NULL",2018,8767
NA,"Rest of pop","19-44","Demographics","Regional Council","Taranaki Region",35733,"NULL",2018,8768
NA,"Rest of pop","19-44","Demographics","Regional Council","Tasman Region",13509,"NULL",2018,8769
NA,"Rest of pop","19-44","Demographics","Regional Council","Waikato Region",153036,"NULL",2018,8770
NA,"Rest of pop","19-44","Demographics","Regional Council","Wellington Region",189486,"NULL",2018,8771
NA,"Rest of pop","19-44","Demographics","Regional Council","West Coast Region",8679,"NULL",2018,8772
NA,"Rest of pop","19-44","Demographics","Urban/rural","Inlet",45,"NULL",2018,8773
NA,"Rest of pop","19-44","Demographics","Urban/rural","Large urban area",217713,"NULL",2018,8774
NA,"Rest of pop","19-44","Demographics","Urban/rural","Major urban area",1000125,"NULL",2018,8775
NA,"Rest of pop","19-44","Demographics","Urban/rural","Medium urban area",126477,"NULL",2018,8776
NA,"Rest of pop","19-44","Demographics","Urban/rural","NULL",8766,"NULL",2018,8777
NA,"Rest of pop","19-44","Demographics","Urban/rural","Oceanic",0,"NULL",2018,8778
NA,"Rest of pop","19-44","Demographics","Urban/rural","Rural other",166833,"NULL",2018,8779
NA,"Rest of pop","19-44","Demographics","Urban/rural","Rural settlement",37311,"NULL",2018,8780
NA,"Rest of pop","19-44","Demographics","Urban/rural","Small urban area",137403,"NULL",2018,8781
NA,"Rest of pop","19-44","Health","Alternative Education (ever)","0",1681596,"NULL",2018,8782
NA,"Rest of pop","19-44","Health","Alternative Education (ever)","1",13077,"NULL",2018,8783
NA,"Rest of pop","19-44","Health","Attendance Service (ever)","0",1636689,"NULL",2018,8784
NA,"Rest of pop","19-44","Health","Attendance Service (ever)","1",57984,"NULL",2018,8785
NA,"Rest of pop","19-44","Health","Child Disability Allowance","0",1673937,"NULL",2018,8786
NA,"Rest of pop","19-44","Health","Child Disability Allowance","1",20739,"NULL",2018,8787
NA,"Rest of pop","19-44","Health","Disability Allowance","0",1667184,"NULL",2018,8788
NA,"Rest of pop","19-44","Health","Disability Allowance","1",27492,"NULL",2018,8789
NA,"Rest of pop","19-44","Health","Job Seeker benefit for Health/Disability","0",1647813,"NULL",2018,8790
NA,"Rest of pop","19-44","Health","Job Seeker benefit for Health/Disability","1",46863,"NULL",2018,8791
NA,"Rest of pop","19-44","Health","Ongoing Resourcing Scheme (ever)","0",1694133,"NULL",2018,8792
NA,"Rest of pop","19-44","Health","Ongoing Resourcing Scheme (ever)","1",543,"NULL",2018,8793
NA,"Rest of pop","19-44","Health","Parent receives CDA","0",1684701,"NULL",2018,8794
NA,"Rest of pop","19-44","Health","Parent receives CDA","1",9975,"NULL",2018,8795
NA,"Rest of pop","19-44","Health","Parent receives Disability Allowance","0",1606296,"NULL",2018,8796
NA,"Rest of pop","19-44","Health","Parent receives Disability Allowance","1",88380,"NULL",2018,8797
NA,"Rest of pop","19-44","Health","Parent receives JS Health/Disability","0",1642623,"NULL",2018,8798
NA,"Rest of pop","19-44","Health","Parent receives JS Health/Disability","1",52053,"NULL",2018,8799
NA,"Rest of pop","19-44","Health","Parent receives Special DA","0",1694250,"NULL",2018,8800
NA,"Rest of pop","19-44","Health","Parent receives Special DA","1",426,"NULL",2018,8801
NA,"Rest of pop","19-44","Health","Parent receives Supported Living Payment","0",1641327,"NULL",2018,8802
NA,"Rest of pop","19-44","Health","Parent receives Supported Living Payment","1",53349,"NULL",2018,8803
NA,"Rest of pop","19-44","Health","PHO enrolment in 2018","0",352941,"NULL",2018,8804
NA,"Rest of pop","19-44","Health","PHO enrolment in 2018","1",1341732,"NULL",2018,8805
NA,"Rest of pop","19-44","Health","School High Health Needs Fund (ever)","0",1694634,"NULL",2018,8806
NA,"Rest of pop","19-44","Health","School High Health Needs Fund (ever)","1",42,"NULL",2018,8807
NA,"Rest of pop","19-44","Health","Special Disability Allowance","0",1694676,"NULL",2018,8808
NA,"Rest of pop","19-44","Health","Special Disability Allowance","1",0,"NULL",2018,8809
NA,"Rest of pop","19-44","Health","Special school (ever)","0",1692354,"NULL",2018,8810
NA,"Rest of pop","19-44","Health","Special school (ever)","1",2319,"NULL",2018,8811
NA,"Rest of pop","19-44","Health","Supported Living Payment","0",1678806,"NULL",2018,8812
NA,"Rest of pop","19-44","Health","Supported Living Payment","1",15870,"NULL",2018,8813
NA,"Rest of pop","19-44","Housing","Accomodation supplement","0",1463790,"NULL",2018,8814
NA,"Rest of pop","19-44","Housing","Accomodation supplement","1",230886,"NULL",2018,8815
NA,"Rest of pop","19-44","Housing","Address type","""Hotel, motel or guest accommo",11808,"NULL",2018,8816
NA,"Rest of pop","19-44","Housing","Address type","""Work, construction or trainin",168,"NULL",2018,8817
NA,"Rest of pop","19-44","Housing","Address type","""Youth, school or Scout/Guide",204,"NULL",2018,8818
NA,"Rest of pop","19-44","Housing","Address type","Boarding house",2739,"NULL",2018,8819
NA,"Rest of pop","19-44","Housing","Address type","Commercial vessel",33,"NULL",2018,8820
NA,"Rest of pop","19-44","Housing","Address type","Communal staff quarters",1011,"NULL",2018,8821
NA,"Rest of pop","19-44","Housing","Address type","Defence establishment",1059,"NULL",2018,8822
NA,"Rest of pop","19-44","Housing","Address type","Dwelling in a motor camp",441,"NULL",2018,8823
NA,"Rest of pop","19-44","Housing","Address type","Educational institution",6411,"NULL",2018,8824
NA,"Rest of pop","19-44","Housing","Address type","Improvised dwelling or shelter",2604,"NULL",2018,8825
NA,"Rest of pop","19-44","Housing","Address type","Joined dwelling in a four to s",8304,"NULL",2018,8826
NA,"Rest of pop","19-44","Housing","Address type","Joined dwelling in a one store",82788,"NULL",2018,8827
NA,"Rest of pop","19-44","Housing","Address type","Joined dwelling in a seven to",3183,"NULL",2018,8828
NA,"Rest of pop","19-44","Housing","Address type","Joined dwelling in a ten or mo",5556,"NULL",2018,8829
NA,"Rest of pop","19-44","Housing","Address type","Joined dwelling in a two or th",97974,"NULL",2018,8830
NA,"Rest of pop","19-44","Housing","Address type","Joined dwelling no storey info",26889,"NULL",2018,8831
NA,"Rest of pop","19-44","Housing","Address type","Marae complex",210,"NULL",2018,8832
NA,"Rest of pop","19-44","Housing","Address type","Mobile dwelling not in a motor",2604,"NULL",2018,8833
NA,"Rest of pop","19-44","Housing","Address type","Motor camp/camping ground",1596,"NULL",2018,8834
NA,"Rest of pop","19-44","Housing","Address type","Night shelter",153,"NULL",2018,8835
NA,"Rest of pop","19-44","Housing","Address type","Non-private dwelling not furth",12,"NULL",2018,8836
NA,"Rest of pop","19-44","Housing","Address type","NULL",30846,"NULL",2018,8837
NA,"Rest of pop","19-44","Housing","Address type","Prison or penal institution",1230,"NULL",2018,8838
NA,"Rest of pop","19-44","Housing","Address type","Private hospital",27,"NULL",2018,8839
NA,"Rest of pop","19-44","Housing","Address type","Public hospital",198,"NULL",2018,8840
NA,"Rest of pop","19-44","Housing","Address type","Religious institution",264,"NULL",2018,8841
NA,"Rest of pop","19-44","Housing","Address type","Residential and community care",762,"NULL",2018,8842
NA,"Rest of pop","19-44","Housing","Address type","Residential care for older peo",219,"NULL",2018,8843
NA,"Rest of pop","19-44","Housing","Address type","Roofless or rough sleeper",12,"NULL",2018,8844
NA,"Rest of pop","19-44","Housing","Address type","Separate house no storey infor",104451,"NULL",2018,8845
NA,"Rest of pop","19-44","Housing","Address type","Separate house with one storey",909348,"NULL",2018,8846
NA,"Rest of pop","19-44","Housing","Address type","Separate house with two or mor",391029,"NULL",2018,8847
NA,"Rest of pop","19-44","Housing","Address type","Welfare institution",537,"NULL",2018,8848
NA,"Rest of pop","19-44","Housing","In public housing","0",1650312,"NULL",2018,8849
NA,"Rest of pop","19-44","Housing","In public housing","1",44364,"NULL",2018,8850
NA,"Rest of pop","19-44","Housing","Live with grandparent","0",1692918,"NULL",2018,8851
NA,"Rest of pop","19-44","Housing","Live with grandparent","1",1758,"NULL",2018,8852
NA,"Rest of pop","19-44","Housing","Live with parent","0",1534215,"NULL",2018,8853
NA,"Rest of pop","19-44","Housing","Live with parent","1",160461,"NULL",2018,8854
NA,"Rest of pop","19-44","Housing","On social housing waitlist","0",1687671,"NULL",2018,8855
NA,"Rest of pop","19-44","Housing","On social housing waitlist","1",7005,"NULL",2018,8856
NA,"Rest of pop","19-44","Housing","Parent accomodation supplement","0",1556691,"NULL",2018,8857
NA,"Rest of pop","19-44","Housing","Parent accomodation supplement","1",137985,"NULL",2018,8858
NA,"Rest of pop","19-44","Justice","Offender - any offence","0",1389825,"NULL",2018,8859
NA,"Rest of pop","19-44","Justice","Offender - any offence","1",304851,"NULL",2018,8860
NA,"Rest of pop","19-44","Justice","Offender - violent offence","0",1598256,"NULL",2018,8861
NA,"Rest of pop","19-44","Justice","Offender - violent offence","1",96420,"NULL",2018,8862
NA,"Rest of pop","19-44","Justice","Served community sentence ever","0",1541820,"NULL",2018,8863
NA,"Rest of pop","19-44","Justice","Served community sentence ever","1",152856,"NULL",2018,8864
NA,"Rest of pop","19-44","Justice","Served community sentence in 2018","0",1673637,"NULL",2018,8865
NA,"Rest of pop","19-44","Justice","Served community sentence in 2018","1",21036,"NULL",2018,8866
NA,"Rest of pop","19-44","Justice","Served custodial sentence ever","0",1643352,"NULL",2018,8867
NA,"Rest of pop","19-44","Justice","Served custodial sentence ever","1",51321,"NULL",2018,8868
NA,"Rest of pop","19-44","Justice","Served custodial sentence in 2018","0",1687650,"NULL",2018,8869
NA,"Rest of pop","19-44","Justice","Served custodial sentence in 2018","1",7026,"NULL",2018,8870
NA,"Rest of pop","19-44","Justice","Victim - any offence","0",1496952,"NULL",2018,8871
NA,"Rest of pop","19-44","Justice","Victim - any offence","1",197721,"NULL",2018,8872
NA,"Rest of pop","19-44","Justice","Victim - violent offence","0",1620690,"NULL",2018,8873
NA,"Rest of pop","19-44","Justice","Victim - violent offence","1",73986,"NULL",2018,8874
NA,"Rest of pop","19-44","Need","ACC - Case management","0",1649622,"NULL",2018,8875
NA,"Rest of pop","19-44","Need","ACC - Case management","1",45054,"NULL",2018,8876
NA,"Rest of pop","19-44","Need","ACC - Sensitive claim","0",1684590,"NULL",2018,8877
NA,"Rest of pop","19-44","Need","ACC - Sensitive claim","1",10083,"NULL",2018,8878
NA,"Rest of pop","19-44","Need","ACC - Serious injury","0",1693893,"NULL",2018,8879
NA,"Rest of pop","19-44","Need","ACC - Serious injury","1",780,"NULL",2018,8880
NA,"Rest of pop","19-44","Need","ACC - Workers Compensation","0",1680183,"NULL",2018,8881
NA,"Rest of pop","19-44","Need","ACC - Workers Compensation","1",14490,"NULL",2018,8882
NA,"Rest of pop","19-44","Need","ADHD","0",1688907,"NULL",2018,8883
NA,"Rest of pop","19-44","Need","ADHD","1",5769,"NULL",2018,8884
NA,"Rest of pop","19-44","Need","Amputation of hand/arm","0",1694463,"NULL",2018,8885
NA,"Rest of pop","19-44","Need","Amputation of hand/arm","1",210,"NULL",2018,8886
NA,"Rest of pop","19-44","Need","Ataxia","0",1694574,"NULL",2018,8887
NA,"Rest of pop","19-44","Need","Ataxia","1",99,"NULL",2018,8888
NA,"Rest of pop","19-44","Need","Autism Spectrum Disorder","0",1693050,"NULL",2018,8889
NA,"Rest of pop","19-44","Need","Autism Spectrum Disorder","1",1623,"NULL",2018,8890
NA,"Rest of pop","19-44","Need","Bipolar","0",1669953,"NULL",2018,8891
NA,"Rest of pop","19-44","Need","Bipolar","1",24720,"NULL",2018,8892
NA,"Rest of pop","19-44","Need","Blind or nearly blind","0",1691742,"NULL",2018,8893
NA,"Rest of pop","19-44","Need","Blind or nearly blind","1",2934,"NULL",2018,8894
NA,"Rest of pop","19-44","Need","Cerebral Palsy","0",1694115,"NULL",2018,8895
NA,"Rest of pop","19-44","Need","Cerebral Palsy","1",558,"NULL",2018,8896
NA,"Rest of pop","19-44","Need","Deaf or nearly deaf","0",1694019,"NULL",2018,8897
NA,"Rest of pop","19-44","Need","Deaf or nearly deaf","1",660,"NULL",2018,8898
NA,"Rest of pop","19-44","Need","Developmental Delay","0",1693758,"NULL",2018,8899
NA,"Rest of pop","19-44","Need","Developmental Delay","1",915,"NULL",2018,8900
NA,"Rest of pop","19-44","Need","Down Syndrome","0",1694598,"NULL",2018,8901
NA,"Rest of pop","19-44","Need","Down Syndrome","1",78,"NULL",2018,8902
NA,"Rest of pop","19-44","Need","Foetal Alcohol Spectrum Disorder","0",1694541,"NULL",2018,8903
NA,"Rest of pop","19-44","Need","Foetal Alcohol Spectrum Disorder","1",132,"NULL",2018,8904
NA,"Rest of pop","19-44","Need","Fragile X","0",1694661,"NULL",2018,8905
NA,"Rest of pop","19-44","Need","Fragile X","1",15,"NULL",2018,8906
NA,"Rest of pop","19-44","Need","Generalised Anxiety Disorder","0",1686111,"NULL",2018,8907
NA,"Rest of pop","19-44","Need","Generalised Anxiety Disorder","1",8565,"NULL",2018,8908
NA,"Rest of pop","19-44","Need","Huntingtons","0",1694661,"NULL",2018,8909
NA,"Rest of pop","19-44","Need","Huntingtons","1",15,"NULL",2018,8910
NA,"Rest of pop","19-44","Need","Incontinence (faecal/urinary)","0",1688946,"NULL",2018,8911
NA,"Rest of pop","19-44","Need","Incontinence (faecal/urinary)","1",5730,"NULL",2018,8912
NA,"Rest of pop","19-44","Need","Intellectual Disability","0",1690641,"NULL",2018,8913
NA,"Rest of pop","19-44","Need","Intellectual Disability","1",4032,"NULL",2018,8914
NA,"Rest of pop","19-44","Need","Klinefelters Syndrome","0",1694622,"NULL",2018,8915
NA,"Rest of pop","19-44","Need","Klinefelters Syndrome","1",54,"NULL",2018,8916
NA,"Rest of pop","19-44","Need","Major Depressive Disorder","0",1485900,"NULL",2018,8917
NA,"Rest of pop","19-44","Need","Major Depressive Disorder","1",208776,"NULL",2018,8918
NA,"Rest of pop","19-44","Need","Motor Neuron Disease","0",1694652,"NULL",2018,8919
NA,"Rest of pop","19-44","Need","Motor Neuron Disease","1",24,"NULL",2018,8920
NA,"Rest of pop","19-44","Need","Multiple Sclerosis","0",1693590,"NULL",2018,8921
NA,"Rest of pop","19-44","Need","Multiple Sclerosis","1",1086,"NULL",2018,8922
NA,"Rest of pop","19-44","Need","Muscular Dystrophy","0",1694508,"NULL",2018,8923
NA,"Rest of pop","19-44","Need","Muscular Dystrophy","1",168,"NULL",2018,8924
NA,"Rest of pop","19-44","Need","Osteoarthritis","0",1663356,"NULL",2018,8925
NA,"Rest of pop","19-44","Need","Osteoarthritis","1",31320,"NULL",2018,8926
NA,"Rest of pop","19-44","Need","Polio","0",1694631,"NULL",2018,8927
NA,"Rest of pop","19-44","Need","Polio","1",45,"NULL",2018,8928
NA,"Rest of pop","19-44","Need","Schizophrenia","0",1681299,"NULL",2018,8929
NA,"Rest of pop","19-44","Need","Schizophrenia","1",13377,"NULL",2018,8930
NA,"Rest of pop","19-44","Need","Spina Bifida","0",1694340,"NULL",2018,8931
NA,"Rest of pop","19-44","Need","Spina Bifida","1",336,"NULL",2018,8932
NA,"Rest of pop","19-44","Need","Stroke","0",1692726,"NULL",2018,8933
NA,"Rest of pop","19-44","Need","Stroke","1",48,"NULL",2018,8934
NA,"Rest of pop","19-44","Need","Stroke","2",210,"NULL",2018,8935
NA,"Rest of pop","19-44","Need","Stroke","3",1695,"NULL",2018,8936
NA,"Rest of pop","19-44","Need","WGSS - Communication","1",1194432,"NULL",2018,8937
NA,"Rest of pop","19-44","Need","WGSS - Communication","2",32661,"NULL",2018,8938
NA,"Rest of pop","19-44","Need","WGSS - Communication","5",467580,"NULL",2018,8939
NA,"Rest of pop","19-44","Need","WGSS - Hearing","1",1168212,"NULL",2018,8940
NA,"Rest of pop","19-44","Need","WGSS - Hearing","2",53934,"NULL",2018,8941
NA,"Rest of pop","19-44","Need","WGSS - Hearing","5",472527,"NULL",2018,8942
NA,"Rest of pop","19-44","Need","WGSS - Remembering","1",1101171,"NULL",2018,8943
NA,"Rest of pop","19-44","Need","WGSS - Remembering","2",123249,"NULL",2018,8944
NA,"Rest of pop","19-44","Need","WGSS - Remembering","5",470253,"NULL",2018,8945
NA,"Rest of pop","19-44","Need","WGSS - Seeing","1",1101798,"NULL",2018,8946
NA,"Rest of pop","19-44","Need","WGSS - Seeing","2",124830,"NULL",2018,8947
NA,"Rest of pop","19-44","Need","WGSS - Seeing","5",468048,"NULL",2018,8948
NA,"Rest of pop","19-44","Need","WGSS - Walking","1",1184337,"NULL",2018,8949
NA,"Rest of pop","19-44","Need","WGSS - Walking","2",39546,"NULL",2018,8950
NA,"Rest of pop","19-44","Need","WGSS - Walking","5",470790,"NULL",2018,8951
NA,"Rest of pop","19-44","Need","WGSS - Washing","1",1216539,"NULL",2018,8952
NA,"Rest of pop","19-44","Need","WGSS - Washing","2",8415,"NULL",2018,8953
NA,"Rest of pop","19-44","Need","WGSS - Washing","5",469722,"NULL",2018,8954
